source	zh	note
Click here to exit the spell book, taking no action.	點擊此處關閉法術書，不執行任何動作。	help
Effects: Instant Combat\nTarget: 5 x 5 area\nCasting Cost: 15 mana\nUpkeep: none\nTurns a 5 x 5 area into thick, sticky mud for the duration of a battle, with the exception of any rivers and hills in the target area. Mud tiles cost both friend and foe 6 movement points to enter. Flying and non-corporeal units are unaffected. This spell has no effect in battles taking place over water.	效果：即時戰鬥\n目標：5 x 5 範圍\n施法花費：15 法力\n維護：無\n在戰鬥持續期間，將 5 x 5 範圍化為濃稠黏滑的泥地（目標區域內的河流與丘陵除外）。泥地格對友方與敵方均需消耗 6 點移動力才能進入。飛行及非實體單位不受影響。此法術對發生在水域上的戰鬥無效。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 5/25 mana\nUpkeep: 1 mana/turn\nGives a target unit increased resistance (+3) to the elemental magics of chaos and nature, and improved defense (+3) against damage spells and ranged magical attacks associated with these two realms. The latter includes all such attacks with the exception of those made by the Sage and Illusionist heroes, and also works against breath attacks and Immolation.	效果：單位結界\n目標：一個單位\n施法花費：5/25 法力\n維護：1 法力/回合\n賦予目標單位對混沌與自然元素魔法的抗性提升（+3），以及對這兩個領域的傷害法術和遠程魔法攻擊的防禦提升（+3）。後者涵蓋所有此類攻擊，但賢者與幻術師英雄所發動的攻擊除外；亦可抵禦吐息攻擊與烈焰焚身。	help
Effects: City Enchantment\nTarget: friendly city\nCasting Cost: 50 mana\nUpkeep: none\nSurrounds a target city with a sturdy stone wall, identical to the City Walls building in every respect, including its maintenance cost of 2 gold per turn.	效果：城市結界\n目標：友方城市\n施法花費：50 法力\n維護：無\n在目標城市周圍建起堅固的石牆，與城牆建築完全相同，包含每回合 2 金幣的維護費用。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 8/40 mana\nUpkeep: 1 mana/turn\nMakes a target unit's creatures stronger by adding +1 to each figure's melee attack strength. If the unit has thrown attacks, the strength of those is also improved by +1, again affecting each figure.	效果：單位結界\n目標：一個單位\n施法花費：8/40 法力\n維護：1 法力/回合\n強化目標單位的生物，為每個模型的近戰攻擊力各加 +1。若該單位具有投擲攻擊，其投擲攻擊力同樣每個模型各提升 +1。	help
Effects: Unit Enchantment\nTarget: one enemy unit\nCasting Cost: 10 mana\nUpkeep: none\nCasts a sticky, 12 hit point web over a target unit. Creatures cannot move until they destroy the web with melee, breath, or magic ranged attacks, which they automatically execute against it at the beginning of every combat turn. Web remnants prevent flying units from flying for the rest of the battle.	效果：單位結界\n目標：一個敵方單位\n施法花費：10 法力\n維護：無\n對目標單位施加一張黏稠的蜘蛛網（生命值 12）。生物在摧毀蜘蛛網之前無法移動——牠們會在每個戰鬥回合開始時自動以近戰、吐息或魔法遠程攻擊來攻擊蜘蛛網。蜘蛛網殘留物會阻止飛行單位在本場戰鬥剩餘時間內飛行。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 70 mana\nUpkeep: 2 mana/turn\nSummons a pair of ferocious bears with 7 melee, 3 defense, 6 resistance, and 8 hit points each. The bears have a speed of 2, and possess the Forester trait, allowing their army to traverse forests on the overland map for only one movement point per tile.	效果：召喚\n目標：無\n施法花費：70 法力\n維護：2 法力/回合\n召喚一對兇猛的戰熊，每頭各有近戰 7、防禦 3、抗性 6、生命 8。戰熊移動速度為 2，並具備「林地行者」特性，使其所在的軍隊在戰略地圖上穿越森林每格僅需 1 點移動力。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 10/50 mana\nUpkeep: 1 mana/turn\nCauses a target unit's skin to harden, increasing the unit's defense (shields) by one.	效果：單位結界\n目標：一個單位\n施法花費：10/50 法力\n維護：1 法力/回合\n使目標單位的皮膚硬化，將該單位的防禦（盾牌）提升 1 點。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 50 mana\nUpkeep: 1 mana/turn\nEndows a unit with the ability to walk on water. The unit's movement speed remains unchanged.	效果：單位結界\n目標：一個單位\n施法花費：50 法力\n維護：1 法力/回合\n賦予目標單位在水面行走的能力，移動速度維持不變。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 100 mana\nUpkeep: 3 mana/turn\nSummons a unit of four small, flying forest creatures that can hurl tiny magic attacks over long distances four times per battle. Sprites have 2 melee strength, 3 ranged strength, +1 to hit, 2 defense, and 8 resistance, but only 1 hit point each. They fly with a speed of 2, and possess the Forester trait, allowing their army to traverse forests on the overland map for only one movement point per tile.	效果：召喚\n目標：無\n施法花費：100 法力\n維護：3 法力/回合\n召喚一隊共四隻小型飛行森林精靈，每場戰鬥可遠距發動四次微型魔法攻擊。精靈各有近戰 2、遠程 3、命中 +1、防禦 2、抗性 8，但每個僅有 1 點生命。飛行速度為 2，並具備「林地行者」特性，使其所在的軍隊在戰略地圖上穿越森林每格僅需 1 點移動力。	help
Effects: Instant\nTarget: map window\nCasting Cost: 30 mana\nUpkeep: none\nFully reveals terrain, terrain specials, and cities on all squares in a targeted 'map window'.	效果：即時\n目標：地圖視窗\n施法花費：30 法力\n維護：無\n完整揭露目標「地圖視窗」內所有格的地形、地形特產與城市。	help
Effects: Instant Combat\nTarget: map square\nCasting Cost: 20 mana\nUpkeep: none\nRends the earth. Any non-flying, corporeal creature standing over the newly created fissure has a 25% chance (regardless of defense) of dying. Stone walls that cross the fissure are destroyed.	效果：即時戰鬥\n目標：地圖格\n施法花費：20 法力\n維護：無\n撕裂大地。任何站在新生裂縫上的非飛行、有形生物有 25% 的機率死亡（無視防禦）。橫跨裂縫的石牆將被摧毀。	help
Effects: City Enchantment\nTarget: friendly city\nCasting Cost: 75 mana\nUpkeep: 1 mana/turn\nExtends the scouting range of a friendly target city to 5 squares in any direction, revealing all lands and all non-invisible enemy troops within that radius.	效果：城市結界\n目標：友方城市\n施法花費：75 法力\n維護：1 法力/回合\n將友方目標城市的偵察範圍延伸至各方向 5 格，揭露該半徑內所有地形及所有非隱形的敵方部隊。	help
Effects: Instant Combat\nTarget: one enemy unit\nCasting Cost: 10+ mana\nUpkeep: none\nShowers a target unit with shards of ice (strength 5 magic cold attack, with every extra point of magic power spent adding a strength of 1 to the attack).	效果：即時戰鬥\n目標：一個敵方單位\n施法花費：10+ 法力\n維護：無\n以冰晶碎片猛擊目標單位（強度 5 魔法冰冷攻擊，每多投入 1 點魔力，攻擊強度增加 1）。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 200 mana\nUpkeep: 4 mana/turn\nSummons two giant, poisonous, web-casting spiders, that have 4 melee strength, +1 to hit, 3 defense, 7 resistance, and 10 hit points each. Their poison also has a strength of 4, and they can use their web ability once per battle (per unit). Giant spiders have a movement speed of 2.	效果：召喚\n目標：無\n施法花費：200 法力\n維護：4 法力/回合\n召喚兩隻巨型毒蜘蛛，牠們能吐出蜘蛛網。每隻各有近戰 4、命中 +1、防禦 3、抗性 7、生命 10。毒素強度為 4，且每場戰鬥（每單位）可使用蜘蛛網能力一次。巨型蜘蛛移動速度為 2。	help
Effects: Instant\nTarget: map square\nCasting Cost: 50 mana\nUpkeep: none\nAlters a target map square, changing deserts, forests, hills, and swamps into grasslands; grasslands into forests; volcanoes into mountains; and mountains into hills. Terrain not listed is not a valid target, and neither are the tiles of magical nodes. If there are any objects on the map square, those will remain intact, including minerals, wild game, nightshades, roads, cities, units, and even encounter zones such as monster lairs or towers of wizardry.	效果：即時\n目標：地圖格\n施法花費：50 法力\n維護：無\n改變目標地圖格的地形：沙漠、森林、丘陵與沼澤化為草原；草原化為森林；火山化為山脈；山脈化為丘陵。未列出的地形不是有效目標，魔法節點的格子亦不可作為目標。若地圖格上有任何物件，包括礦物、野生獵物、夜影草、道路、城市、單位，乃至怪物巢穴或巫師之塔等遭遇區，皆將完整保留。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 50 mana\nUpkeep: 1 mana/turn\nEnables a target unit, and any others stacked with it, to travel over any terrain they could normally enter as if it was a road (i.e., the cost is only 1/2 movement point per square). Sailing ships gain no benefit from this spell, and will usually prevent it from being utilized in any stack they are part of - as will Wind Walking units. Flying units gain no direct benefit either, and may only utilize this effect if grouped together with non-flying ones.	效果：單位結界\n目標：一個單位\n施法花費：50 法力\n維護：1 法力/回合\n使目標單位及與其同堆疊的其他單位，能以如同道路的代價（即每格僅需 1/2 移動力）穿越任何可正常進入的地形。帆船不受此法術加成，且通常會阻止堆疊中的其他單位使用此效果；御風行走單位亦同。飛行單位亦無直接加成，且僅在與非飛行單位同組時才能使用此效果。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 275 mana\nUpkeep: 8 mana/turn\nSummons a unit of four cockatrices, whose deceptively soft, feathered touch is capable of turning even the hardiest creatures to stone. Cockatrices have 4 melee strength, +1 to hit, 3 defense, 7 resistance, and 3 hit points each. They can fly with a speed of 2, and their Stoning Touch carries a resistance penalty of -3.	效果：召喚\n目標：無\n施法花費：275 法力\n維護：8 法力/回合\n召喚一隊共四隻雞蛇怪，其看似溫柔的羽翼觸碰能將最強壯的生物石化。雞蛇怪各有近戰 4、命中 +1、防禦 3、抗性 7、生命 3。飛行速度為 2，其「石化觸碰」帶有 -3 的抗性懲罰。	help
Effects: Instant\nTarget: map special\nCasting Cost: 60 mana\nUpkeep: none\nTransforms a mineral on a map square into another: coal to gems, iron to gold, and silver to mithril. Transmute will also reverse these transformations: gems to coal, gold to iron, and mithril to silver. Minerals not listed are not valid targets for the spell.	效果：即時\n目標：地圖特產\n施法花費：60 法力\n維護：無\n將地圖格上的礦物轉化為另一種：煤炭變寶石、鐵礦變金幣、銀礦變秘銀。煉金術亦可逆向轉化：寶石變煤炭、金幣變鐵礦、秘銀變銀礦。未列出的礦物不是此法術的有效目標。	help
Effects: Instant\nTarget: map square\nCasting Cost: 75 mana\nUpkeep: none\nCompletely heals all units (except for creatures of death) that are stacked in a target land square.	效果：即時\n目標：地圖格\n施法花費：75 法力\n維護：無\n完整治癒目標陸地格上堆疊的所有單位（死亡系生物除外）。	help
