source	zh	note
# === 巫師名 (固定 14 位) — 中文(英文) 保留原文 ===
Merlin	梅林(Merlin)	巫師
Raven	雷文(Raven)	巫師
Sharee	莎麗(Sharee)	巫師
Lo Pan	羅潘(Lo Pan)	巫師
Jafar	賈法爾(Jafar)	巫師
Oberic	奧柏力克(Oberic)	巫師
Rjak	雷賈克(Rjak)	巫師
Sss'ra	絲拉(Sss'ra)	巫師
Tauron	陶隆(Tauron)	巫師
Freya	芙蕾雅(Freya)	巫師
Horus	荷魯斯(Horus)	巫師
Ariel	艾莉爾(Ariel)	巫師
Tlaloc	特拉洛克(Tlaloc)	巫師
Kali	迦梨(Kali)	巫師
# === 英雄名 (固定 35 位) — 中文(英文) ===
Torin	托林(Torin)	英雄
Fang	方恩(Fang)	英雄
B'Shan	比尚(B'Shan)	英雄
Morgana	摩根娜(Morgana)	英雄
Warrax	沃拉克斯(Warrax)	英雄
Mystic X	神祕X(Mystic X)	英雄
Bahgtru	巴格特魯(Bahgtru)	英雄
Deth Stryke	戴斯·史崔克(Deth Stryke)	英雄
Spyder	史派德(Spyder)	英雄
Sir Harold	哈洛德爵士(Sir Harold)	英雄
Brax	布拉克斯(Brax)	英雄
Ravashack	拉瓦薩克(Ravashack)	英雄
Greyfairer	格雷費爾(Greyfairer)	英雄
Shalla	莎拉(Shalla)	英雄
Roland	羅蘭(Roland)	英雄
Malleus	馬勒斯(Malleus)	英雄
Mortu	莫圖(Mortu)	英雄
Gunther	岡瑟(Gunther)	英雄
Rakir	拉基爾(Rakir)	英雄
Jaer	賈爾(Jaer)	英雄
Taki	塔奇(Taki)	英雄
Yramrag	伊拉姆拉格(Yramrag)	英雄
Valana	瓦拉娜(Valana)	英雄
Elana	伊蓮娜(Elana)	英雄
Aerie	艾莉(Aerie)	英雄
Marcus	馬庫斯(Marcus)	英雄
Reywind	雷溫德(Reywind)	英雄
Alorra	阿洛拉(Alorra)	英雄
Zaldron	札爾德龍(Zaldron)	英雄
Shin Bo	申波(Shin Bo)	英雄
Serena	賽琳娜(Serena)	英雄
Shuri	修莉(Shuri)	英雄
Theria	賽莉亞(Theria)	英雄
Tumu	圖姆(Tumu)	英雄
Aureus	奧雷烏斯(Aureus)	英雄
