source	zh	note
# 預設神器名 (itemdata.lbx, 250 筆)。scaffold:zh 欄待翻譯。
Black Asp		TODO
Sword of Mallana		TODO
Sword of Stealth		TODO
Dragon Slayer		TODO
Monster Masher		TODO
Sword of Mephisto		TODO
White Lightning		TODO
Ultimate Defense		TODO
Stoning Sword		TODO
Living Sword		TODO
Pummel Mace		TODO
Mauler		TODO
Skull Smasher		TODO
Deathbringer		TODO
Storm Mace		TODO
Dracken Mace		TODO
Fangs Avenger		TODO
World Ender		TODO
Morphains Friend		TODO
Orc Smasher		TODO
Flaming Axe		TODO
Axe of the Caster		TODO
Hacker		TODO
Axe of Haste		TODO
Power Axe		TODO
Axe of Chaotic Death		TODO
Phantastic Axe		TODO
Axe of Stone		TODO
The Beheader		TODO
Axe of Light		TODO
Living Bow		TODO
The Regulator		TODO
Mithril Longbow		TODO
Silver Shortbow		TODO
The Master Crossbow		TODO
Bow of Magic Immunity		TODO
Bow of Hazard		TODO
The Undertaker		TODO
Elvish Longbow		TODO
Life Bow		TODO
The Mangler		TODO
Staff Of Magic Mastery		TODO
Stick of the Mage		TODO
Guardian Staff		TODO
Flaming Staff		TODO
Chaotic Staff of Fire		TODO
The Destructor		TODO
Staff of Pain		TODO
Staff Of Confusion		TODO
Staff of Superiority		TODO
The Branch of Magic		TODO
Wand of Immunity		TODO
Wand of Arcanus		TODO
Wand of Enhancement		TODO
Wand of Fiery Death		TODO
Wand of Elros		TODO
White Lightning		TODO
Wand of Balmoth		TODO
Wand of the Guardian		TODO
Wand of Doom		TODO
Elven Ring of Health		TODO
Amulet of Battle		TODO
Ring of Power		TODO
Amulet of Resistance		TODO
Devils Eye of Fear		TODO
Band of Chivalry		TODO
Trinket of Strength		TODO
Orb of Righteous Sight		TODO
Cross of Blessed Death		TODO
Magical Crystal of Power		TODO
Shield of Demos		TODO
Shield of Evasion		TODO
Shield of Eros		TODO
Blessed Shield of Defense		TODO
Shield of Elements		TODO
Shield of Guardian Defense		TODO
Shield of Enduring Fear		TODO
Shield of the Undead		TODO
Shield of Transformation		TODO
Supreme Shield of Death		TODO
Chain Mail of Defense		TODO
Chain Mail of Resistance		TODO
Chain Mail of Movement		TODO
Chain Mail of Balance		TODO
Blessed Mail of Resistance		TODO
Chain Mail of Endurance		TODO
Chain Mail of Immunity		TODO
Chain Mail of Absorbtion		TODO
Chain of Super Resistance		TODO
Mithril Mail of Talos		TODO
Plate Mail of Defense		TODO
Plate Mail of Resistance		TODO
Plate Mail of Movement		TODO
Plate Mail of Diversity		TODO
Plate Mail of Blessed Fear		TODO
Righteous Plate of Evasion		TODO
Plate of Enduring Immunity		TODO
Elemental Transformation		TODO
Plate of Divine Protection		TODO
Plate of Omnipotence		TODO
Blade of Blood		TODO
Bane Blade		TODO
Sword of Immunity		TODO
Sting		TODO
Great Sword of Arkanna		TODO
Right Hand 0f Justice		TODO
Vlads Impaler		TODO
Merlins Nails		TODO
Intimidator		TODO
Whirlwind		TODO
Thors Hammer		TODO
Hand of God		TODO
Club of Chaos		TODO
Fist of Destruction		TODO
Edge of the Elements		TODO
Double Axe of Pain		TODO
Executioners Friend		TODO
Knight Chopper		TODO
Tree Tamer		TODO
Inquisitor		TODO
The Resistor		TODO
Hells Bolt		TODO
Bow of the Golden Horde		TODO
Ray of Light		TODO
Gideons Harp		TODO
The Hartshone		TODO
The Deathstorm		TODO
The Devils Instrument		TODO
The Enlightener		TODO
The Traveller		TODO
Staff of Horus		TODO
The Pummeler		TODO
Word of God		TODO
The Protector		TODO
The Ossifier		TODO
Wand of Lesser Might		TODO
Wand of Infinite Magic		TODO
The Mighty Wand of Zod		TODO
The Wand of Glenda		TODO
Wand of Ultimate Might		TODO
Amulet of Lesser Shielding		TODO
Cloak of Armor		TODO
Ring of Dasmiff		TODO
Orb of Fear		TODO
Helm of Trollish Might		TODO
Shield of the Fool		TODO
Shield of Thiron		TODO
Shield of Quatis		TODO
Shield of the Wraith		TODO
Shield of the Gods		TODO
Chain of Magical Health		TODO
Morthogs Chainmail		TODO
Mithril Chainmail		TODO
Chainmail of Speed		TODO
Chainmail of the Elements		TODO
Champions Platemail		TODO
Armor of the Warrior		TODO
Bloodmail		TODO
Silvermail		TODO
Plate of Ultimax		TODO
Sword of Cannae		TODO
Flaming Sword of Death		TODO
Joshuas Sword		TODO
The Revenge of Orculs		TODO
The Defender		TODO
Cannes Mace		TODO
Irons Mace		TODO
Jans Hammer		TODO
Axe of Severe Pain		TODO
The Axe of Uncaring		TODO
Axe of the Apostles		TODO
The Peacemaker		TODO
The Kick Axe		TODO
The Archer		TODO
The Telecaster		TODO
Bow of The Dervish		TODO
