source	zh	note
# 城市名 (cityname.lbx 280 個) — 中文(英文) 保留原文。真實地名用通用譯,奇幻名意譯/音譯。
Norport	諾港(Norport)	城市名
Bradenburg	布蘭登堡(Bradenburg)	城市名
Bromburg	布隆堡(Bromburg)	城市名
Bamburg	班堡(Bamburg)	城市名
Burglitz	布格利茨(Burglitz)	城市名
Deventor	德芬特(Deventor)	城市名
Danzig	但澤(Danzig)	城市名
Freiburg	弗萊堡(Freiburg)	城市名
Flensburg	弗倫斯堡(Flensburg)	城市名
Hamburg	漢堡(Hamburg)	城市名
Hannover	漢諾威(Hannover)	城市名
Konstanz	康斯坦茨(Konstanz)	城市名
Kufstein	庫夫施泰因(Kufstein)	城市名
Linz	林茨(Linz)	城市名
Strassburg	斯特拉斯堡(Strassburg)	城市名
Rostock	羅斯托克(Rostock)	城市名
Schleswig	石勒蘇益格(Schleswig)	城市名
Stettin	斯德丁(Stettin)	城市名
Zwolle	茲沃勒(Zwolle)	城市名
Soest	索斯特(Soest)	城市名
Kempen	肯彭(Kempen)	城市名
Bantanu	班塔努(Bantanu)	城市名
Saradash	薩拉達什(Saradash)	城市名
Tanquil	坦奎爾(Tanquil)	城市名
Jagan	賈甘(Jagan)	城市名
Panjang	潘姜(Panjang)	城市名
Mourndar	莫恩達(Mourndar)	城市名
Turlock	特洛克(Turlock)	城市名
Tetrehahn	泰特雷漢(Tetrehahn)	城市名
Fortalle	福塔勒(Fortalle)	城市名
Tier	提爾(Tier)	城市名
Raban	拉班(Raban)	城市名
Kraang	克朗(Kraang)	城市名
Amondon	阿蒙頓(Amondon)	城市名
Carn Sul	卡恩蘇爾(Carn Sul)	城市名
Mijnduin	邁恩杜因(Mijnduin)	城市名
Durwrath	杜爾拉斯(Durwrath)	城市名
Lorn	洛恩(Lorn)	城市名
Caradas	卡拉達斯(Caradas)	城市名
Rastenford	拉斯滕福(Rastenford)	城市名
Leer	利爾(Leer)	城市名
Nightwath	夜守(Nightwath)	城市名
Tyrlinith	提爾里尼斯(Tyrlinith)	城市名
Blademarsh	刃沼(Blademarsh)	城市名
Bloodrock	血岩(Bloodrock)	城市名
Darkhold	暗堡(Darkhold)	城市名
Darkmoor	暗荒(Darkmoor)	城市名
Hellgate	地獄門(Hellgate)	城市名
Bladewater	刃水(Bladewater)	城市名
Tombstone	墓碑(Tombstone)	城市名
Midnight	午夜(Midnight)	城市名
Jet	黑曜(Jet)	城市名
Ebony	烏木(Ebony)	城市名
Fellwood	凶森(Fellwood)	城市名
Ashwall	灰牆(Ashwall)	城市名
Thanelorn	薩恩洛恩(Thanelorn)	城市名
Anamarathor	阿納馬拉索(Anamarathor)	城市名
Deathford	亡者渡(Deathford)	城市名
Blackstone	黑石(Blackstone)	城市名
Adderax	阿德拉克斯(Adderax)	城市名
Vallis	瓦利斯(Vallis)	城市名
